,task_id,dataset,sample,method,passed,failed,error,prompt,raw_output,code,output_tokens,gen_time_s,mean_entropy,max_entropy,mean_margin,min_margin,error_type,error_message,n_tokens,entropy_mean,entropy_std,entropy_min,entropy_max,entropy_range,entropy_p90,entropy_p95,entropy_p99,margin_mean,margin_std,margin_min,margin_p01,margin_p05,margin_p10,n_entropy_gt_0_5,n_entropy_gt_1_0,n_entropy_gt_1_5,n_entropy_gt_2_0,frac_entropy_gt_0_5,frac_entropy_gt_1_0,frac_entropy_gt_1_5,n_margin_lt_0_05,n_margin_lt_0_10,n_margin_lt_0_25,n_margin_lt_0_50,entropy_delta_abs_mean,entropy_delta_abs_max,entropy_delta_std,longest_entropy_gt_0_5_run,longest_entropy_gt_1_0_run,longest_entropy_gt_1_5_run,peak_valley_spikes,burst_spike_run,code_lines,code_chars,raw_output_chars,group
0,HumanEval/0,humaneval,0,baseline_deterministic,True,False,{'type': None},"from typing import List


def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """""" Check if in given list of numbers, are any two numbers closer to each other than
    given threshold.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
","```python
from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False
```","from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    for i in range(len(numbers)):
        for j in range(i + 1, len(numbers)):
            if abs(numbers[i] - numbers[j]) < threshold:
                return True
    return False",68,6.84941926800002,0.038944983037864,0.947244882583618,10.9311084466822,1.15625,,,68,0.0389449830378643,0.15151540321744,1.37576046199683e-06,0.947244882583618,0.947243506823156,0.035994839668274,0.193366863578557,0.792670600414275,10.9311084466822,3.67434749293531,1.15625,1.8053125,3.12443199157714,5.24985904693603,2,0,0,0,0.0294117647058823,0,0,0,0,0,0,0.0599606224171742,0.946950900601223,0.197517018524927,1,0,0,0,0,8,277,291,Pass
1,HumanEval/1,humaneval,0,baseline_deterministic,True,False,{'type': None},"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input to this function is a string containing multiple groups of nested parentheses. Your goal is to
    separate those group into separate strings and return the list of those.
    Separate groups are balanced (each open brace is properly closed) and not nested within each other
    Ignore any spaces in the input string.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
","```python
from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    current_group = []
    depth = 0

    for char in paren_string.replace(' ', ''):
        if char == '(':
            depth += 1
            current_group.append(char)
        elif char == ')':
            depth -= 1
            current_group.append(char)
            if depth == 0:
                result.append(''.join(current_group))
                current_group = []

    return result
```","from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    result = []
    current_group = []
    depth = 0

    for char in paren_string.replace(' ', ''):
        if char == '(':
            depth += 1
            current_group.append(char)
        elif char == ')':
            depth -= 1
            current_group.append(char)
            if depth == 0:
                result.append(''.join(current_group))
                current_group = []

    return result",111,7.44490918600013,0.064491988123902,0.906893968582153,10.2776096361177,0.127840042114257,,,111,0.0644919881239022,0.190707044913896,1.27661280657775e-07,0.906893968582153,0.906893840920872,0.089895874261856,0.550392866134643,0.896739774942398,10.2776096361177,4.28628371258246,0.127840042114257,0.289914894104003,1.84375,4.1448860168457,6,0,0,0,0.054054054054054,0,0,0,0,1,2,0.113866506536767,0.904675452504307,0.265280902120286,1,0,0,0,0,19,493,507,Pass
2,HumanEval/2,humaneval,0,baseline_deterministic,True,False,{'type': None},"

def truncate_number(number: float) -> float:
    """""" Given a positive floating point number, it can be decomposed into
    and integer part (largest integer smaller than given number) and decimals
    (leftover part always smaller than 1).

    Return the decimal part of the number.
    >>> truncate_number(3.5)
    0.5
    """"""
","```python
def truncate_number(number: float) -> float:
    return number - int(number)
```","def truncate_number(number: float) -> float:
    return number - int(number)",22,1.47436417200015,0.065736959596589,0.72922670841217,8.34762451865456,1.4772720336914,,,22,0.0657369595965891,0.176482871788043,3.06660404021386e-05,0.72922670841217,0.729196042371768,0.121008543297648,0.428283295035362,0.669317929446697,8.34762451865456,3.37856209443555,1.4772720336914,1.69234331130981,2.56250047683715,3.87102241516113,1,0,0,0,0.0454545454545454,0,0,0,0,0,0,0.0944602376683698,0.727036378113552,0.209519353987818,1,0,0,0,0,2,76,90,Pass
3,HumanEval/3,humaneval,0,baseline_deterministic,True,False,{'type': None},"from typing import List


def below_zero(operations: List[int]) -> bool:
    """""" You're given a list of deposit and withdrawal operations on a bank account that starts with
    zero balance. Your task is to detect if at any point the balance of account fallls below zero, and
    at that point function should return True. Otherwise it should return False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","```python
from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False
```","from typing import List

def below_zero(operations: List[int]) -> bool:
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False",54,3.63864149100004,0.037913217092721,0.544403791427612,10.4951473518654,1.78693199157714,,,54,0.037913217092721,0.116256097020041,5.8322393670096e-07,0.544403791427612,0.544403208203675,0.0606564704328775,0.373883570730685,0.479881758093833,10.4951473518654,3.68429766390979,1.78693199157714,1.7884372138977,2.07578125,4.8455976486206,1,0,0,0,0.0185185185185185,0,0,0,0,0,0,0.0611937945104213,0.541892181383445,0.149256086677489,1,0,0,0,0,9,214,228,Pass
4,HumanEval/4,humaneval,0,baseline_deterministic,True,False,{'type': None},"from typing import List


def mean_absolute_deviation(numbers: List[float]) -> float:
    """""" For a given list of input numbers, calculate Mean Absolute Deviation
    around the mean of this dataset.
    Mean Absolute Deviation is the average absolute difference between each
    element and a centerpoint (mean in this case):
    MAD = average | x - x_mean |
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","```python
from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)
```","from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    return sum(abs(x - mean) for x in numbers) / len(numbers)",50,3.40438065699981,0.080597075605892,1.05921554565429,9.32802610397339,0.184658050537109,,,50,0.0805970756058923,0.23705055702675,8.97791233001044e-06,1.05921554565429,1.05920656774196,0.0979002729058266,0.677735686302184,1.02520416557788,9.32802610397339,3.99654905451217,0.184658050537109,0.530581855773925,1.12599439620971,4.49204483032226,4,1,0,0,0.08,0.02,0,0,0,1,1,0.133196761624387,1.05849260702962,0.324517562414684,1,1,0,0,1,5,185,199,Pass
5,HumanEval/5,humaneval,0,baseline_deterministic,True,False,{'type': None},"from typing import List


def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """""" Insert a number 'delimeter' between every two consecutive elements of input list `numbers'
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","```python
from typing import List

def intersperse(numbers: List[int], delimiter: int) -> List[int]:
    result = []
    for i, num in enumerate(numbers):
        result.append(num)
        if i < len(numbers) - 1:
            result.append(delimiter)
    return result
```","from typing import List

def intersperse(numbers: List[int], delimiter: int) -> List[int]:
    result = []
    for i, num in enumerate(numbers):
        result.append(num)
        if i < len(numbers) - 1:
            result.append(delimiter)
    return result",65,4.32821412299995,0.076676901383353,0.90023785829544,9.60189057863675,0.015625,,,65,0.0766769013833534,0.198959192778061,1.42141470860224e-06,0.90023785829544,0.900236436880732,0.210747826099395,0.573953282833099,0.831141674518585,9.60189057863675,4.30854449564894,0.015625,0.28289794921875,1.25511474609375,3.14090881347656,6,0,0,0,0.0923076923076923,0,0,1,1,1,2,0.113309885899013,0.899748784955591,0.254329587623809,2,0,0,0,0,9,259,273,Pass
6,HumanEval/6,humaneval,0,baseline_deterministic,True,False,{'type': None},"from typing import List


def parse_nested_parens(paren_string: str) -> List[int]:
    """""" Input to this function is a string represented multiple groups for nested parentheses separated by spaces.
    For each of the group, output the deepest level of nesting of parentheses.
    E.g. (()()) has maximum two levels of nesting while ((())) has three.

    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
","```python
from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    result = []
    for group in paren_string.split():
        depth = max_depth = 0
        for char in group:
            if char == '(':
                depth += 1
                max_depth = max(max_depth, depth)
            elif char == ')':
                depth -= 1
        result.append(max_depth)
    return result
```","from typing import List

def parse_nested_parens(paren_string: str) -> List[int]:
    result = []
    for group in paren_string.split():
        depth = max_depth = 0
        for char in group:
            if char == '(':
                depth += 1
                max_depth = max(max_depth, depth)
            elif char == ')':
                depth -= 1
        result.append(max_depth)
    return result",96,6.46616573200003,0.067659937090473,1.63617849349975,10.351111570994,0.015625,,,96,0.0676599370904735,0.221971287112397,7.74698548866581e-07,1.63617849349975,1.6361777188012,0.195141531527042,0.500822655856609,0.904493406414983,10.351111570994,4.24666235717137,0.015625,0.2828125,1.41512775421142,3.03835201263427,5,1,1,0,0.0520833333333333,0.0104166666666666,0.0104166666666666,1,1,1,2,0.104683135273069,1.63603856053669,0.297960326029388,1,1,1,0,1,14,406,420,Pass
7,HumanEval/7,humaneval,0,baseline_deterministic,True,False,{'type': None},"from typing import List


def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """""" Filter an input list of strings only for ones that contain given substring
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
","```python
from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]
```","from typing import List

def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]",41,2.73626526599991,0.064012489967553,0.748720347881317,9.63568857239514,1.3522720336914,,,41,0.0640124899675534,0.171500692551119,7.72358725953381e-06,0.748720347881317,0.748712624294057,0.266764819622039,0.517855525016784,0.656901681423187,9.63568857239514,3.74163070555853,1.3522720336914,1.47272644042968,2.14488792419433,2.546875,3,0,0,0,0.073170731707317,0,0,0,0,0,0,0.0913023008493837,0.746456157648935,0.215832019425622,1,0,0,0,0,4,148,162,Pass
8,HumanEval/8,humaneval,0,baseline_deterministic,True,False,{'type': None},"from typing import List, Tuple


def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """""" For a given list of integers, return a tuple consisting of a sum and a product of all the integers in a list.
    Empty sum should be equal to 0 and empty product should be equal to 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
","```python
from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    if not numbers:
        return (0, 1)
    
    total_sum = sum(numbers)
    total_product = 1
    for number in numbers:
        total_product *= number
    
    return (total_sum, total_product)
```","from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    if not numbers:
        return (0, 1)
    
    total_sum = sum(numbers)
    total_product = 1
    for number in numbers:
        total_product *= number
    
    return (total_sum, total_product)",75,5.04178517199989,0.076868743030903,1.15711832046508,9.59090956370035,0.796875,,,75,0.0768687430309031,0.205168278811478,3.26294980368402e-06,1.15711832046508,1.15711505751528,0.212946271896362,0.506691274046897,0.995323772430421,9.59090956370035,4.19871454731023,0.796875,0.81789695739746,1.59232883453369,3.09517097473144,4,1,0,0,0.0533333333333333,0.0133333333333333,0,0,0,0,0,0.131797801790987,1.15275528561323,0.279572439553267,1,1,0,0,1,12,287,301,Pass
9,HumanEval/9,humaneval,0,baseline_deterministic,True,False,{'type': None},"from typing import List, Tuple


def rolling_max(numbers: List[int]) -> List[int]:
    """""" From a given list of integers, generate a list of rolling maximum element found until given moment
    in the sequence.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
","```python
from typing import List, Tuple

def rolling_max(numbers: List[int]) -> List[int]:
    if not numbers:
        return []
    
    result = []
    current_max = float('-inf')
    for number in numbers:
        current_max = max(current_max, number)
        result.append(current_max)
    
    return result
```","from typing import List, Tuple

def rolling_max(numbers: List[int]) -> List[int]:
    if not numbers:
        return []
    
    result = []
    current_max = float('-inf')
    for number in numbers:
        current_max = max(current_max, number)
        result.append(current_max)
    
    return result",72,4.82607124299988,0.129147945962535,1.35692882537841,9.23163321283128,0.223011016845703,,,72,0.129147945962535,0.285134201465886,5.77100490772863e-06,1.35692882537841,1.35692305437351,0.62040456533432,0.745487847924232,1.09939668536186,9.23163321283128,4.82556196772028,0.223011016845703,0.253266944885253,0.588849353790283,0.967329025268554,10,1,0,0,0.138888888888888,0.0138888888888888,0,0,0,1,3,0.232621224929894,1.35534169815946,0.417655915175522,1,1,0,0,1,13,304,318,Pass
