,Cómo leer esta validación,Unnamed: 1,Unnamed: 2
0,,,
1,Elemento,Definición,Interpretación
2,Baseline greedy,El modelo elige top-1 en cada paso.,Los 20 problemas incluidos fallaron con este baseline.
3,Rama top-2,"Se mantiene el prefijo, se fuerza top-2 en una posición y se continúa greedy.",Una rama PASS constituye una recuperación local contrafactual.
4,Lookahead,Continuación corta de 12 tokens para todas las posiciones elegibles.,Sirve para ordenar; no determina por sí mismo si el programa pasa.
5,Presupuesto k,Cantidad máxima de ramas completas por problema.,Todos los selectores se comparan con el mismo k.
6,Problema recuperado,Al menos una rama seleccionada pasó los tests base.,Es la métrica primaria por problema.
7,Precisión de rama,Ramas PASS / ramas nominales seleccionadas.,"Mide densidad de ramas útiles, no cobertura del oracle."
8,No evaluada completa,La posición tiene lookahead pero no rama completa.,No debe interpretarse como FAIL.
9,Límite,No se completaron todas las 1.649 posiciones ni se ejecutó HumanEval+.,Todavía no conocemos el oracle exhaustivo ni la robustez reforzada.
10,,,
11,Fuentes reproducibles,,
12,Archivo,Contenido,Ruta de origen
13,validation_report.json,Configuración y resultados agregados,frozen_selector_validation_checkpoint (1).zip
14,branches.jsonl,255 ramas completas únicas,frozen_selector_validation_checkpoint (1).zip
15,lookaheads.jsonl,1.649 posiciones con continuación corta,frozen_selector_validation_checkpoint (1).zip
,Validación de branching adaptativo — 20 problemas,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,Qwen2.5-Coder-7B · HumanEval/26 excluido por desarrollo · tests base de HumanEval,,,,,,,,,Selector,Problemas recuperados,
1,,,,,,,,,,Semántico,10,
2,Problemas,,Lookaheads cortos,,Ramas completas,,Posiciones sin rama completa,,,Entropía,10,
3,20,,1649,,255,,1394,,,Margen,10,
4,,,,,,,,,,Aleatorio,6,
5,,,,,,,,,,,,
6,Selector,Problemas recuperados,Tasa,Ramas PASS,Ramas nominales,Precisión de rama,Brecha vs random,Lectura,,,,
7,Semántico,10,0.5,15,100,0.15,4,"Complementario, pero no superior a entropía",,,,
8,Entropía,10,0.5,21,100,0.21,4,Mejor con presupuestos pequeños,,,,
9,Margen,10,0.5,21,100,0.21,4,Casi redundante con entropía,,,,
10,Aleatorio,6,0.3,7,100,0.07,0,Control de referencia,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,Conclusión defendible,,,,,,,,,,,
14,"Cambiar una decisión top-1 por top-2 recuperó 10 de 20 problemas con cinco ramas. El selector semántico superó al control aleatorio, pero empató con entropía y margen. Su valor potencial es aportar trayectorias diferentes para una política híbrida.",,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,Selector,PASS,FAIL
19,,,,,,,,,,Semántico,15,85
20,,,,,,,,,,Entropía,21,79
21,,,,,,,,,,Margen,21,79
22,,,,,,,,,,Aleatorio,7,93
,task_id,selector,rank,position,branch_passed,recovered_within_k,Unnamed: 6,Ramas permitidas,Semántico,Entropía,Margen,Aleatorio,Unnamed: 12,Ramas permitidas.1,Semántico.1,Entropía.1,Margen.1,Aleatorio.1,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
0,HumanEval/140,Semántico,1,6,1,1,,1,5,8,6,4,,1,0.25,0.4,0.3,0.2,,,,,,,
1,HumanEval/140,Semántico,2,8,0,1,,2,7,10,8,5,,2,0.35,0.5,0.4,0.25,,,,,,,
2,HumanEval/140,Semántico,3,7,1,1,,3,7,10,10,6,,3,0.35,0.5,0.5,0.3,,,,,,,
3,HumanEval/140,Semántico,4,4,0,1,,4,8,10,10,6,,4,0.4,0.5,0.5,0.3,,score,10,,,,
4,HumanEval/140,Semántico,5,3,0,1,,5,10,10,10,6,,5,0.5,0.5,0.5,0.3,,,,,,,
5,HumanEval/140,Entropía,1,7,1,1,,,,,,,,,,,,,,,,,,,
6,HumanEval/140,Entropía,2,6,1,1,,,,,,,,,,,,,,,,,,,
7,HumanEval/140,Entropía,3,4,0,1,,,,,,,,,,,,,,Pasas:,,,Nota,,
8,HumanEval/140,Entropía,4,5,0,1,,,,,,,,,,,,,,l0,,,7,,Asigno 7
9,HumanEval/140,Entropía,5,8,0,1,,,,,,,,,,,,,,l1,,,8,,
10,HumanEval/140,Margen,1,7,1,1,,,,,,,,,,,,,,l2,,,7,,
11,HumanEval/140,Margen,2,6,1,1,,,,,,,,,,,,,,l3,,,7,,
12,HumanEval/140,Margen,3,4,0,1,,,,,,,,,,,,,,l,,,7,,
13,HumanEval/140,Margen,4,5,0,1,,,,,,,,,,,,,,,,,,,
14,HumanEval/140,Margen,5,8,0,1,,,,,,,,,,,,,,,,,,,
15,HumanEval/140,Aleatorio,1,2,0,0,,,,,,,,,,,,,,,,,,,
16,HumanEval/140,Aleatorio,2,6,1,1,,,,,,,,,,,,,,,,,,,
17,HumanEval/140,Aleatorio,3,7,1,1,,,,,,,,,,,,,,,,,,,
18,HumanEval/140,Aleatorio,4,8,0,1,,,,,,,,,,,,,,,,,,,
19,HumanEval/140,Aleatorio,5,9,0,1,,,,,,,,,,,,,,,,,,,
20,HumanEval/93,Semántico,1,62,0,0,,,,,,,,,,,,,,,,,,,
21,HumanEval/93,Semántico,2,50,0,0,,,,,,,,,,,,,,,,,,,
22,HumanEval/93,Semántico,3,58,0,0,,,,,,,,,,,,,,,,,,,
23,HumanEval/93,Semántico,4,64,0,0,,,,,,,,,,,,,,,,,,,
24,HumanEval/93,Semántico,5,65,0,0,,,,,,,,,,,,,,,,,,,
25,HumanEval/93,Entropía,1,12,0,0,,,,,,,,,,,,,,,,,,,
26,HumanEval/93,Entropía,2,66,0,0,,,,,,,,,,,,,,,,,,,
27,HumanEval/93,Entropía,3,15,0,0,,,,,,,,,,,,,,,,,,,
28,HumanEval/93,Entropía,4,5,0,0,,,,,,,,,,,,,,,,,,,
29,HumanEval/93,Entropía,5,67,0,0,,,,,,,,,,,,,,,,,,,
30,HumanEval/93,Margen,1,12,0,0,,,,,,,,,,,,,,,,,,,
31,HumanEval/93,Margen,2,67,0,0,,,,,,,,,,,,,,,,,,,
32,HumanEval/93,Margen,3,58,0,0,,,,,,,,,,,,,,,,,,,
33,HumanEval/93,Margen,4,66,0,0,,,,,,,,,,,,,,,,,,,
34,HumanEval/93,Margen,5,13,0,0,,,,,,,,,,,,,,,,,,,
35,HumanEval/93,Aleatorio,1,25,0,0,,,,,,,,,,,,,,,,,,,
36,HumanEval/93,Aleatorio,2,46,0,0,,,,,,,,,,,,,,,,,,,
